publishedAt,authorDisplayName,textDisplay,likeCount;;;;;;;;;
2023-05-08T16:19:35Z,Abdurrahman Baswedan,PRESIDEN 2024 🇮🇩🇮🇩🇮🇩<br><br>PERMAINAN BERPIKIR MANUSIA BIASA!!!<br><br>  Jika saya bakal calon presiden memiliki banyak dukungan dari penguasa negeri ini (harta kekayaannya yang banyak) dan bantuan dana dari penguasa negara lain. Apalagi sudah pasti semua lembaga lainnya termasuk lembaga survey menginginkan keuntungan besar dan sudah pasti juga tidak ada lembaga-lembaga lainnya termasuk lembaga survey ingin rugi.<br><br>Apa yang harus saya dan tim saya lakukan untuk lembaga-lembaga lain  termasuk lembaga survey supaya poin suara saya bisa dominan dari bakal calon presiden lainnya??!!!<br><br><br>NOTE : Mari CERDAS dan BIJAKSANA dalam memilih Presiden. Ingat Masa Kerja Presiden itu 5 tahun ke depan berarti yang menentukan MASA DEPAN (RAKYAT (KITA SEMUA TERMASUK ANAK dan CUCU KITA)) Bangsa dan Negeri ini 5 tahun ke depan.!!!!,0;;;;;;;;;
"2023-05-08T16:06:59Z,Arif Firtana,""Dukung doa&#39";"in aja yg terbaik untuk indonesia soalNya menyangkut hajat orang banyak, mau capres A, B, C, yg penting dia amanah,! Kriteria capres:berprestasi,Tidak korupsi, tidak main suap/sogok,kebijakanNya pro Rakyat, tidak suka nonton bkp, Tidak politik pembodohan publik misal:bagi2 sembako, bagi2 amplop, Jangan sampai gara2 sembako n amplop yg cuma segitu doang,! Kepala kita di injak selama5 tahun. Jika kriteria diatas ada pada salah satu capres,! maka kita wajib dukung beliau.🙏🙏🙏"",0";;;;;;;;
"2023-05-08T15:34:52Z,Rony Rajagukguk,""the next Jokowi, Ganjar Pranowo 2024"",0";;;;;;;;;
2023-05-08T15:24:27Z,kacung cinta,Rekam jejak wowo.... jadi Letjen ABRI di jaman Suharto.... menginisiasi bintang lima dan menjadikan Jenderal Besar Suharto.... wowo jadi pilar bertahannya kepemimpinan Suharto.... sampai akhirnya melakukan blunder dan kemudian dipecat dari ABRI.... kemudian bikin partai yang kental dengan wowo sentris.... menciptakan loyalis-loyalis bayaran.... &quot;wowo sentris&quot; itu kuncinya.... itu karakter kepemimpinan wowo.... selalu menekankan bahwa konstitusi UUD &#39;45 adalah corak semi sosialis seperti tercantum dalam pasal 33 ayat 2..... dan itulah yang diterapkan oleh Suharto juga..... &quot;mengantongi&quot; konglomerat <br>yang menguasai cabang-cabang perekonomian di Indonesia.....sehingga dapat menekan harga  jual barang-barang kebutuhan rakyat......tapi tentunya dengan kompensasi konglomerat tersebut dapat memperoleh kredit bank seperti BLBI.... terlihat &quot;semi sosialis&quot; akan berbenturan dengan &quot;demokrasi&quot;..... semi sosialis beriring dengan wowo sentris.... itu gambaran karakter kepemimpinan wowo... demokrasi akan ditelikung oleh wowo sentris,0
"2023-05-08T15:17:45Z,Ganis Queen,""SAYA PILIH CAPRES GA LIHAT PARPOLNYA, TPI LIHAT ORANGNYA JEJEK REKAMNYA GAYA  KEPMIMINNYA, DULU SAYA PILIH JOKOWI GA LIHAT PARPOLNYA, ANDAIKAN DULU KLO JOKOWI BUKAN CAPRES DARI PARPOL PDI P, TETEP SAYA PILIH JOKOWI"",0";;;;;;;;;
2023-05-08T15:00:39Z,rfady rfady,Bagus....biarkan rakyat memilih dengan hatinurani nya masing2 <br>Kalau banyak pilihan itu lebih bagus bukan terpaksa karna tak ada pilihan,1;;;;;;;;;
2023-05-08T14:56:40Z,akuang akuang,Kok gak ada Ahok,0;;;;;;;;;
"2023-05-08T14:26:18Z,Oka Sadewa,""Pak Ganjar dan prabowo kalo di adu membuatku bingung pilih yang mana 😢😢😢<br>Kalo pilih ganjar karna PDI p &amp";" Bu Mega 😍<br>Kalo pilih prabowo hati kecilku simpati sama beliau sejak 2019 di gandeng Bu Mega, dan 2014 malah di adu sama pak Jokowi 😢"",0";;;;;;;;
"2023-05-08T12:50:30Z,""Abu Khaer, M.Pd"",""sy sekeluarga pilih pak Anies, karena beliau cerdas, amanah, berpendidikan, sopan, berwibawa, santun."",3";;;;;;;;;
2023-05-08T12:46:13Z,Yanz yanz Ian,ANIES PILIHAN KU,1;;;;;;;;;
